Date,Type,residence,Positive,Negative,Total_Tests,Positive_Rate,Year,Month,Weekday
2021-01-19,Students,Students - Non-Residential,10,325,335,2.99,2021,1,Tuesday
2021-01-19,Students,Students - Residential,3,459,462,0.65,2021,1,Tuesday
2021-01-20,Faculty/Staff,Non-Residential,4,168,172,2.33,2021,1,Wednesday
2021-01-20,Students,Students - Non-Residential,7,830,837,0.84,2021,1,Wednesday
2021-01-20,Students,Students - Residential,4,459,463,0.86,2021,1,Wednesday
2021-01-21,Faculty/Staff,Non-Residential,2,71,73,2.74,2021,1,Thursday
2021-01-21,Students,Students - Non-Residential,2,653,655,0.31,2021,1,Thursday
2021-01-21,Students,Students - Residential,6,606,612,0.98,2021,1,Thursday
2021-01-22,Faculty/Staff,Non-Residential,4,110,114,3.51,2021,1,Friday
2021-01-22,Students,Students - Non-Residential,10,922,932,1.07,2021,1,Friday
2021-01-22,Students,Students - Residential,3,696,699,0.43,2021,1,Friday
2021-01-23,Faculty/Staff,Non-Residential,1,19,20,5.0,2021,1,Saturday
2021-01-23,Students,Students - Non-Residential,9,378,387,2.33,2021,1,Saturday
2021-01-23,Students,Students - Residential,0,334,334,0.0,2021,1,Saturday
2021-01-24,Faculty/Staff,Non-Residential,0,112,112,0.0,2021,1,Sunday
2021-01-24,Students,Students - Non-Residential,12,1038,1050,1.14,2021,1,Sunday
2021-01-24,Students,Students - Residential,7,694,701,1.0,2021,1,Sunday
2021-01-25,Faculty/Staff,Non-Residential,4,115,119,3.36,2021,1,Monday
2021-01-25,Students,Students - Non-Residential,8,865,873,0.92,2021,1,Monday
2021-01-25,Students,Students - Residential,7,939,946,0.74,2021,1,Monday
2021-01-26,Faculty/Staff,Non-Residential,1,188,189,0.53,2021,1,Tuesday
2021-01-26,Students,Students - Non-Residential,6,636,642,0.93,2021,1,Tuesday
2021-01-26,Students,Students - Residential,4,738,742,0.54,2021,1,Tuesday
2021-01-27,Faculty/Staff,Non-Residential,3,110,113,2.65,2021,1,Wednesday
2021-01-27,Students,Students - Non-Residential,21,794,815,2.58,2021,1,Wednesday
2021-01-27,Students,Students - Residential,4,601,605,0.66,2021,1,Wednesday
2021-01-28,Faculty/Staff,Non-Residential,6,82,88,6.82,2021,1,Thursday
2021-01-28,Students,Students - Non-Residential,13,519,532,2.44,2021,1,Thursday
2021-01-28,Students,Students - Residential,8,533,541,1.48,2021,1,Thursday
2021-01-29,Faculty/Staff,Non-Residential,0,74,74,0.0,2021,1,Friday
2021-01-29,Students,Students - Non-Residential,9,499,508,1.77,2021,1,Friday
2021-01-29,Students,Students - Residential,4,210,214,1.87,2021,1,Friday
2021-01-30,Faculty/Staff,Non-Residential,1,38,39,2.56,2021,1,Saturday
2021-01-30,Students,Students - Non-Residential,3,116,119,2.52,2021,1,Saturday
2021-01-30,Students,Students - Residential,5,51,56,8.93,2021,1,Saturday
2021-01-31,Faculty/Staff,Non-Residential,0,30,30,0.0,2021,1,Sunday
2021-01-31,Students,Students - Non-Residential,6,51,57,10.53,2021,1,Sunday
2021-01-31,Students,Students - Residential,6,22,28,21.43,2021,1,Sunday
2021-02-01,Faculty/Staff,Non-Residential,5,122,127,3.94,2021,2,Monday
2021-02-01,Students,Students - Non-Residential,52,1182,1234,4.21,2021,2,Monday
2021-02-01,Students,Students - Residential,84,958,1042,8.06,2021,2,Monday
2021-02-02,Faculty/Staff,Non-Residential,2,108,110,1.82,2021,2,Tuesday
2021-02-02,Students,Students - Non-Residential,45,1012,1057,4.26,2021,2,Tuesday
2021-02-02,Students,Students - Residential,55,884,939,5.86,2021,2,Tuesday
2021-02-03,Faculty/Staff,Non-Residential,1,118,119,0.84,2021,2,Wednesday
2021-02-03,Students,Students - Non-Residential,32,1027,1059,3.02,2021,2,Wednesday
2021-02-03,Students,Students - Residential,31,675,706,4.39,2021,2,Wednesday
2021-02-04,Faculty/Staff,Non-Residential,4,106,110,3.64,2021,2,Thursday
2021-02-04,Students,Students - Non-Residential,17,802,819,2.08,2021,2,Thursday
2021-02-04,Students,Students - Residential,24,641,665,3.61,2021,2,Thursday
2021-02-05,Faculty/Staff,Non-Residential,1,105,106,0.94,2021,2,Friday
2021-02-05,Students,Students - Non-Residential,12,549,561,2.14,2021,2,Friday
2021-02-05,Students,Students - Residential,9,277,286,3.15,2021,2,Friday
2021-02-06,Faculty/Staff,Non-Residential,1,4,5,20.0,2021,2,Saturday
2021-02-06,Students,Students - Non-Residential,4,54,58,6.9,2021,2,Saturday
2021-02-06,Students,Students - Residential,7,46,53,13.21,2021,2,Saturday
2021-02-07,Faculty/Staff,Non-Residential,0,29,29,0.0,2021,2,Sunday
2021-02-07,Students,Students - Non-Residential,2,80,82,2.44,2021,2,Sunday
2021-02-07,Students,Students - Residential,7,72,79,8.86,2021,2,Sunday
2021-02-08,Faculty/Staff,Non-Residential,3,133,136,2.21,2021,2,Monday
2021-02-08,Students,Students - Non-Residential,13,1083,1096,1.19,2021,2,Monday
2021-02-08,Students,Students - Residential,20,911,931,2.15,2021,2,Monday
2021-02-09,Faculty/Staff,Non-Residential,3,118,121,2.48,2021,2,Tuesday
2021-02-09,Students,Students - Non-Residential,7,1124,1131,0.62,2021,2,Tuesday
2021-02-09,Students,Students - Residential,30,846,876,3.42,2021,2,Tuesday
2021-02-10,Faculty/Staff,Non-Residential,2,146,148,1.35,2021,2,Wednesday
2021-02-10,Students,Students - Non-Residential,5,1212,1217,0.41,2021,2,Wednesday
2021-02-10,Students,Students - Residential,16,614,630,2.54,2021,2,Wednesday
2021-02-11,Faculty/Staff,Non-Residential,3,103,106,2.83,2021,2,Thursday
2021-02-11,Students,Students - Non-Residential,9,807,816,1.1,2021,2,Thursday
2021-02-11,Students,Students - Residential,9,565,574,1.57,2021,2,Thursday
2021-02-12,Faculty/Staff,Non-Residential,0,101,101,0.0,2021,2,Friday
2021-02-12,Students,Students - Non-Residential,5,511,516,0.97,2021,2,Friday
2021-02-12,Students,Students - Residential,6,251,257,2.33,2021,2,Friday
2021-02-13,Faculty/Staff,Non-Residential,0,0,0,,2021,2,Saturday
2021-02-13,Students,Students - Non-Residential,1,39,40,2.5,2021,2,Saturday
2021-02-13,Students,Students - Residential,2,21,23,8.7,2021,2,Saturday
2021-02-14,Faculty/Staff,Non-Residential,0,18,18,0.0,2021,2,Sunday
2021-02-14,Students,Students - Non-Residential,0,83,83,0.0,2021,2,Sunday
2021-02-14,Students,Students - Residential,1,47,48,2.08,2021,2,Sunday
2021-02-15,Faculty/Staff,Non-Residential,2,127,129,1.55,2021,2,Monday
2021-02-15,Students,Students - Non-Residential,2,1187,1189,0.17,2021,2,Monday
2021-02-15,Students,Students - Residential,4,497,501,0.8,2021,2,Monday
2021-02-16,Faculty/Staff,Non-Residential,0,98,98,0.0,2021,2,Tuesday
2021-02-16,Students,Students - Non-Residential,4,893,897,0.45,2021,2,Tuesday
2021-02-16,Students,Students - Residential,1,523,524,0.19,2021,2,Tuesday
2021-02-17,Faculty/Staff,Non-Residential,2,160,162,1.23,2021,2,Wednesday
2021-02-17,Students,Students - Non-Residential,2,1135,1137,0.18,2021,2,Wednesday
2021-02-17,Students,Students - Residential,2,408,410,0.49,2021,2,Wednesday
2021-02-18,Faculty/Staff,Non-Residential,0,79,79,0.0,2021,2,Thursday
2021-02-18,Students,Students - Non-Residential,1,686,687,0.15,2021,2,Thursday
2021-02-18,Students,Students - Residential,3,444,447,0.67,2021,2,Thursday
2021-02-19,Faculty/Staff,Non-Residential,0,101,101,0.0,2021,2,Friday
2021-02-19,Students,Students - Non-Residential,1,507,508,0.2,2021,2,Friday
2021-02-19,Students,Students - Residential,2,220,222,0.9,2021,2,Friday
2021-02-20,Students,Students - Non-Residential,0,19,19,0.0,2021,2,Saturday
2021-02-20,Students,Students - Residential,1,8,9,11.11,2021,2,Saturday
2021-02-21,Faculty/Staff,Non-Residential,0,35,35,0.0,2021,2,Sunday
2021-02-21,Students,Students - Non-Residential,0,61,61,0.0,2021,2,Sunday
2021-02-21,Students,Students - Residential,0,32,32,0.0,2021,2,Sunday
2021-02-22,Faculty/Staff,Non-Residential,2,156,158,1.27,2021,2,Monday
2021-02-22,Students,Students - Non-Residential,2,1141,1143,0.17,2021,2,Monday
2021-02-22,Students,Students - Residential,0,549,549,0.0,2021,2,Monday
2021-02-23,Faculty/Staff,Non-Residential,2,101,103,1.94,2021,2,Tuesday
2021-02-23,Students,Students - Non-Residential,1,1045,1046,0.1,2021,2,Tuesday
2021-02-23,Students,Students - Residential,1,510,511,0.2,2021,2,Tuesday
2021-02-24,Faculty/Staff,Non-Residential,0,164,164,0.0,2021,2,Wednesday
2021-02-24,Students,Students - Non-Residential,6,1128,1134,0.53,2021,2,Wednesday
2021-02-24,Students,Students - Residential,2,353,355,0.56,2021,2,Wednesday
2021-02-25,Faculty/Staff,Non-Residential,0,61,61,0.0,2021,2,Thursday
2021-02-25,Students,Students - Non-Residential,0,690,690,0.0,2021,2,Thursday
2021-02-25,Students,Students - Residential,1,397,398,0.25,2021,2,Thursday
2021-02-26,Faculty/Staff,Non-Residential,4,102,106,3.77,2021,2,Friday
2021-02-26,Students,Students - Non-Residential,1,486,487,0.21,2021,2,Friday
2021-02-26,Students,Students - Residential,1,243,244,0.41,2021,2,Friday
